icd9_code,icd9_description
715.16,"Osteoarthrosis, localized, primary, lower leg"
715.30,"Osteoarthrosis, localized, not specified whether primary or secondary, site unspecified"
715.31,"Osteoarthrosis, localized, not specified whether primary or secondary, shoulder region"
715.33,"Osteoarthrosis, localized, not specified whether primary or secondary, forearm"
715.34,"Osteoarthrosis, localized, not specified whether primary or secondary, hand"
715.35,"Osteoarthrosis, localized, not specified whether primary or secondary, pelvic region and thigh"
715.36,"Osteoarthrosis, localized, not specified whether primary or secondary, lower leg"
715.37,"Osteoarthrosis, localized, not specified whether primary or secondary, ankle and foot"
715.80,"Osteoarthrosis involving, or with mention of more than one site, but not specified as generalized, site unspecified"
715.89,"Osteoarthrosis involving, or with mention of more than one site, but not specified as generalized, multiple sites"
715.90,"Osteoarthrosis, unspecified whether generalized or localized, site unspecified"
715.91,"Osteoarthrosis, unspecified whether generalized or localized, shoulder region"
715.92,"Osteoarthrosis, unspecified whether generalized or localized, upper arm"
715.93,"Osteoarthrosis, unspecified whether generalized or localized, forearm"
715.94,"Osteoarthrosis, unspecified whether generalized or localized, hand"
715.95,"Osteoarthrosis, unspecified whether generalized or localized, pelvic region and thigh"
715.96,"Osteoarthrosis, unspecified whether generalized or localized, lower leg"
715.97,"Osteoarthrosis, unspecified whether generalized or localized, ankle and foot"
715.98,"Osteoarthrosis, unspecified whether generalized or localized, other specified sites"
716.15,"Traumatic arthropathy, pelvic region and thigh"
716.16,"Traumatic arthropathy, lower leg"
716.50,"Unspecified polyarthropathy or polyarthritis, site unspecified"
716.66,"Unspecified monoarthritis, lower leg"
716.80,"Other specified arthropathy, site unspecified"
716.87,"Other specified arthropathy, ankle and foot"
716.90,"Arthropathy, unspecified, site unspecified"
716.91,"Arthropathy, unspecified, shoulder region"
716.93,"Arthropathy, unspecified, forearm"
716.94,"Arthropathy, unspecified, hand"
716.95,"Arthropathy, unspecified, pelvic region and thigh"
716.96,"Arthropathy, unspecified, lower leg"
716.97,"Arthropathy, unspecified, ankle and foot"
716.98,"Arthropathy, unspecified, other specified sites"
716.99,"Arthropathy, unspecified, multiple sites"
717.6,Loose body in knee
717.84,Old disruption of posterior cruciate ligament
718.15,"Loose body in joint, pelvic region and thigh"
718.21,"Pathological dislocation of joint, shoulder region"
718.28,"Pathological dislocation of joint, other specified sites"
718.31,"Recurrent dislocation of joint, shoulder region"
718.35,"Recurrent dislocation of joint, pelvic region and thigh"
718.36,"Recurrent dislocation of joint, lower leg"
718.40,"Contracture of joint, site unspecified"
718.42,"Contracture of joint, upper arm"
718.43,"Contracture of joint, forearm"
718.44,"Contracture of joint, hand"
718.45,"Contracture of joint, pelvic region and thigh"
718.46,"Contracture of joint, lower leg"
718.47,"Contracture of joint, ankle and foot"
718.48,"Contracture of joint, other specified sites"
718.49,"Contracture of joint, multiple sites"
718.55,"Ankylosis of joint, pelvic region and thigh"
718.56,"Ankylosis of joint, lower leg"
718.65,"Unspecified intrapelvic protrusion of acetabulum, pelvic region and thigh"
718.87,"Other joint derangement, not elsewhere classified, ankle and foot"
718.88,"Other joint derangement, not elsewhere classified, other specified sites"
718.91,"Unspecified derangement of joint, shoulder region"
718.95,"Unspecified derangement of joint, pelvic region and thigh"
718.97,"Unspecified derangement of joint, ankle and foot"
719.01,"Effusion of joint, shoulder region"
719.02,"Effusion of joint, upper arm"
719.03,"Effusion of joint, forearm"
719.04,"Effusion of joint, hand"
719.05,"Effusion of joint, pelvic region and thigh"
719.06,"Effusion of joint, lower leg"
719.07,"Effusion of joint, ankle and foot"
719.09,"Effusion of joint, multiple sites"
719.11,"Hemarthrosis, shoulder region"
719.12,"Hemarthrosis, upper arm"
719.13,"Hemarthrosis, forearm"
719.16,"Hemarthrosis, lower leg"
719.18,"Hemarthrosis, other specified sites"
719.30,"Palindromic rheumatism, site unspecified"
719.40,"Pain in joint, site unspecified"
719.41,"Pain in joint, shoulder region"
719.42,"Pain in joint, upper arm"
719.43,"Pain in joint, forearm"
719.44,"Pain in joint, hand"
719.45,"Pain in joint, pelvic region and thigh"
719.46,"Pain in joint, lower leg"
719.47,"Pain in joint, ankle and foot"
719.49,"Pain in joint, multiple sites"
719.50,"Stiffness of joint, not elsewhere classified, site unspecified"
719.58,"Stiffness of joint, not elsewhere classified, other specified sites"
719.65,"Other symptoms referable to joint, pelvic region and thigh"
719.66,"Other symptoms referable to joint, lower leg"
719.7,Difficulty in walking
719.85,"Other specified disorders of joint, pelvic region and thigh"
719.86,"Other specified disorders of joint, lower leg"
719.90,"Unspecified disorder of joint, site unspecified"
719.96,"Unspecified disorder of joint, lower leg"
720.0,Ankylosing spondylitis
720.2,"Sacroiliitis, not elsewhere classified"
720.9,Unspecified inflammatory spondylopathy
721.0,Cervical spondylosis without myelopathy
721.1,Cervical spondylosis with myelopathy
721.2,Thoracic spondylosis without myelopathy
721.3,Lumbosacral spondylosis without myelopathy
721.41,"Spondylosis with myelopathy, thoracic region"
721.42,"Spondylosis with myelopathy, lumbar region"
721.7,Traumatic spondylopathy
721.8,Other allied disorders of spine
721.90,"Spondylosis of unspecified site, without mention of myelopathy"
721.91,"Spondylosis of unspecified site, with myelopathy"
722.0,Displacement of cervical intervertebral disc without myelopathy
722.10,Displacement of lumbar intervertebral disc without myelopathy
722.11,Displacement of thoracic intervertebral disc without myelopathy
722.2,"Displacement of intervertebral disc, site unspecified, without myelopathy"
722.30,"Schmorl's nodes, unspecified region"
722.4,Degeneration of cervical intervertebral disc
722.51,Degeneration of thoracic or thoracolumbar intervertebral disc
722.52,Degeneration of lumbar or lumbosacral intervertebral disc
722.6,"Degeneration of intervertebral disc, site unspecified"
722.70,"Intervertebral disc disorder with myelopathy, unspecified region"
722.71,"Intervertebral disc disorder with myelopathy, cervical region"
722.72,"Intervertebral disc disorder with myelopathy, thoracic region"
722.73,"Intervertebral disc disorder with myelopathy, lumbar region"
722.83,"Postlaminectomy syndrome, lumbar region"
722.90,"Other and unspecified disc disorder, unspecified region"
722.91,"Other and unspecified disc disorder, cervical region"
722.92,"Other and unspecified disc disorder, thoracic region"
722.93,"Other and unspecified disc disorder, lumbar region"
723.0,Spinal stenosis in cervical region
723.1,Cervicalgia
723.4,Brachial neuritis or radiculitis NOS
723.5,"Torticollis, unspecified"
723.6,Panniculitis specified as affecting neck
723.7,Ossification of posterior longitudinal ligament in cervical region
723.8,Other syndromes affecting cervical region
724.00,"Spinal stenosis, unspecified region"
724.01,"Spinal stenosis, thoracic region"
724.02,"Spinal stenosis, lumbar region, without neurogenic claudication"
724.03,"Spinal stenosis, lumbar region, with neurogenic claudication"
724.09,"Spinal stenosis, other region"
724.2,Lumbago
724.3,Sciatica
724.4,"Thoracic or lumbosacral neuritis or radiculitis, unspecified"
724.5,"Backache, unspecified"
724.6,Disorders of sacrum
724.8,Other symptoms referable to back
724.9,Other unspecified back disorders
725,Polymyalgia rheumatica
726.0,Adhesive capsulitis of shoulder
726.10,"Disorders of bursae and tendons in shoulder region, unspecified"
726.11,Calcifying tendinitis of shoulder
726.12,Bicipital tenosynovitis
726.19,Other specified disorders of bursae and tendons in shoulder region
726.2,"Other affections of shoulder region, not elsewhere classified"
726.32,Lateral epicondylitis
726.33,Olecranon bursitis
726.5,Enthesopathy of hip region
726.60,"Enthesopathy of knee, unspecified"
726.64,Patellar tendinitis
726.65,Prepatellar bursitis
726.69,Other enthesopathy of knee
726.71,Achilles bursitis or tendinitis
726.72,Tibialis tendinitis
726.73,Calcaneal spur
726.79,Other enthesopathy of ankle and tarsus
726.90,Enthesopathy of unspecified site
726.91,Exostosis of unspecified site
727.00,"Synovitis and tenosynovitis, unspecified"
727.03,Trigger finger (acquired)
727.04,Radial styloid tenosynovitis
727.05,Other tenosynovitis of hand and wrist
727.06,Tenosynovitis of foot and ankle
727.09,Other synovitis and tenosynovitis
727.1,Bunion
727.3,Other bursitis
727.40,"Synovial cyst, unspecified"
727.41,Ganglion of joint
727.42,Ganglion of tendon sheath
727.43,"Ganglion, unspecified"
727.51,Synovial cyst of popliteal space
727.61,Complete rupture of rotator cuff
727.62,Nontraumatic rupture of tendons of biceps (long head)
727.63,Nontraumatic rupture of extensor tendons of hand and wrist
727.81,Contracture of tendon (sheath)
727.82,Calcium deposits in tendon and bursa
727.89,"Other disorders of synovium, tendon, and bursa"
727.9,Other mumps with other specified complications
728.0,Infective myositis
728.13,Postoperative heterotopic calcification
728.2,"Muscular wasting and disuse atrophy, not elsewhere classified"
728.3,Other specific muscle disorders
728.4,Laxity of ligament
728.6,Contracture of palmar fascia
728.71,Plantar fascial fibromatosis
728.79,"Other fibromatoses of muscle, ligament, and fascia"
728.82,Foreign body granuloma of muscle
728.83,"Rupture of muscle, nontraumatic"
728.84,Diastasis of muscle
728.85,Spasm of muscle
728.86,Necrotizing fasciitis
728.87,Muscle weakness (generalized)
728.88,Rhabdomyolysis
728.89,"Other disorders of muscle, ligament, and fascia"
728.9,"Unspecified disorder of muscle, ligament, and fascia"
729.1,"Myalgia and myositis, unspecified"
729.2,"Neuralgia, neuritis, and radiculitis, unspecified"
729.30,"Panniculitis, unspecified site"
729.39,"Panniculitis, other site"
729.4,"Fasciitis, unspecified"
729.5,Pain in limb
729.6,Residual foreign body in soft tissue
729.71,Nontraumatic compartment syndrome of upper extremity
729.72,Nontraumatic compartment syndrome of lower extremity
729.73,Nontraumatic compartment syndrome of abdomen
729.81,Swelling of limb
729.82,Cramp of limb
729.89,Other musculoskeletal symptoms referable to limbs
729.9,Other and unspecified disorders of soft tissue
729.90,"Disorders of soft tissue, unspecified"
729.91,Post-traumatic seroma
729.92,Nontraumatic hematoma of soft tissue
729.99,Other disorders of soft tissue
730.01,"Acute osteomyelitis, shoulder region"
730.02,"Acute osteomyelitis, upper arm"
730.04,"Acute osteomyelitis, hand"
730.05,"Acute osteomyelitis, pelvic region and thigh"
730.06,"Acute osteomyelitis, lower leg"
730.07,"Acute osteomyelitis, ankle and foot"
730.08,"Acute osteomyelitis, other specified sites"
730.09,"Acute osteomyelitis, multiple sites"
730.12,"Chronic osteomyelitis, upper arm"
730.13,"Chronic osteomyelitis, forearm"
730.15,"Chronic osteomyelitis, pelvic region and thigh"
730.16,"Chronic osteomyelitis, lower leg"
730.17,"Chronic osteomyelitis, ankle and foot"
730.18,"Chronic osteomyelitis, other specified sites"
730.19,"Chronic osteomyelitis, multiple sites"
730.20,"Unspecified osteomyelitis, site unspecified"
730.22,"Unspecified osteomyelitis, upper arm"
730.23,"Unspecified osteomyelitis, forearm"
730.24,"Unspecified osteomyelitis, hand"
730.25,"Unspecified osteomyelitis, pelvic region and thigh"
730.26,"Unspecified osteomyelitis, lower leg"
730.27,"Unspecified osteomyelitis, ankle and foot"
730.28,"Unspecified osteomyelitis, other specified sites"
730.29,"Unspecified osteomyelitis, multiple sites"
730.88,"Other infections involving bone in diseases classified elsewhere, other specified sites"
730.89,"Other infections involving bone in diseases classified elsewhere, multiple sites"
730.97,"Unspecified infection of bone, ankle and foot"
731.0,Osteitis deformans without mention of bone tumor
731.3,Major osseous defects
731.8,Other bone involvement in diseases classified elsewhere
732.0,Juvenile osteochondrosis of spine
732.1,Juvenile osteochondrosis of hip and pelvis
732.3,Juvenile osteochondrosis of upper extremity
732.4,"Juvenile osteochondrosis of lower extremity, excluding foot"
732.5,Juvenile osteochondrosis of foot
733.00,"Osteoporosis, unspecified"
733.01,Senile osteoporosis
733.02,Idiopathic osteoporosis
733.09,Other osteoporosis
733.11,Pathologic fracture of humerus
733.12,Pathologic fracture of distal radius and ulna
733.13,Pathologic fracture of vertebrae
733.14,Pathologic fracture of neck of femur
733.15,Pathologic fracture of other specified part of femur
733.16,Pathologic fracture of tibia or fibula
733.19,Pathologic fracture of other specified site
733.20,"Cyst of bone (localized), unspecified"
733.29,Other bone cyst
733.3,Hyperostosis of skull
733.40,"Aseptic necrosis of bone, site unspecified"
733.41,Aseptic necrosis of head of humerus
733.42,Aseptic necrosis of head and neck of femur
733.45,"Aseptic necrosis of bone, jaw"
733.49,"Aseptic necrosis of bone, other"
733.5,Osteitis condensans
733.6,Tietze's disease
733.81,Malunion of fracture
733.82,Nonunion of fracture
733.90,"Disorder of bone and cartilage, unspecified"
733.93,Stress fracture of tibia or fibula
733.96,Stress fracture of femoral neck
733.99,Other disorders of bone and cartilage
734,Flat foot
735.0,Hallux valgus (acquired)
735.4,Other hammer toe (acquired)
735.5,Claw toe (acquired)
735.8,Other acquired deformities of toe
735.9,Unspecified acquired deformity of toe
736.00,"Unspecified deformity of forearm, excluding fingers"
736.05,Wrist drop (acquired)
736.09,"Other acquired deformities of forearm, excluding fingers"
736.20,Unspecified deformity of finger
736.29,Other acquired deformities of finger
736.30,Unspecified acquired deformity of hip
736.6,Other acquired deformities of knee
736.70,"Unspecified deformity of ankle and foot, acquired"
736.71,Acquired equinovarus deformity
736.72,"Equinus deformity of foot, acquired"
736.79,Other acquired deformities of ankle and foot
736.81,Unequal leg length (acquired)
736.89,Other acquired deformity of other parts of limb
737.10,Kyphosis (acquired) (postural)
737.11,Kyphosis due to radiation
737.12,"Kyphosis, postlaminectomy"
737.19,Other kyphosis (acquired)
737.22,Other postsurgical lordosis
737.29,Other lordosis (acquired)
737.30,"Scoliosis [and kyphoscoliosis], idiopathic"
737.32,Progressive infantile idiopathic scoliosis
737.33,Scoliosis due to radiation
737.34,Thoracogenic scoliosis
737.39,Other kyphoscoliosis and scoliosis
737.41,Kyphosis associated with other conditions
737.43,Scoliosis associated with other conditions
738.0,Acquired deformity of nose
738.10,Unspecified acquired deformity of head
738.19,Other specified acquired deformity of head
738.3,Acquired deformity of chest and rib
738.4,Acquired spondylolisthesis
738.5,Other acquired deformity of back or spine
738.6,Acquired deformity of pelvis
738.8,Acquired deformity of other specified site
740.2,Iniencephaly
741.00,"Spina bifida with hydrocephalus, unspecified region"
741.01,"Spina bifida with hydrocephalus, cervical region"
741.03,"Spina bifida with hydrocephalus, lumbar region"
741.90,"Spina bifida without mention of hydrocephalus, unspecified region"
741.93,"Spina bifida without mention of hydrocephalus, lumbar region"
742.0,"Coxsackie carditis, unspecified"
742.1,Coxsackie pericarditis
742.2,Congenital reduction deformities of brain
742.3,Congenital hydrocephalus
742.4,Other specified congenital anomalies of brain
742.59,Other specified congenital anomalies of spinal cord
742.8,Other specified congenital anomalies of nervous system
742.9,"Unspecified congenital anomaly of brain, spinal cord, and nervous system"
743.20,"Buphthalmos, unspecified"
743.30,"Congenital cataract, unspecified"
743.43,"Other corneal opacities, congenital"
743.53,"Chorioretinal degeneration, congenital"
743.59,Other congenital anomalies of posterior segment
743.61,Congenital ptosis
743.62,Congenital deformities of eyelids
743.63,Other specified congenital anomalies of eyelid
743.65,Specified congenital anomalies of lacrimal passages
744.01,Absence of external ear
744.1,Accessory auricle
744.23,Microtia
744.29,Other specified anomalies of ear
744.3,Unspecified anomaly of ear
744.41,Branchial cleft sinus or fistula
744.42,Branchial cleft cyst
744.89,Other specified congenital anomalies of face and neck
744.9,Unspecified congenital anomalies of face and neck
745.10,Complete transposition of great vessels
745.12,Corrected transposition of great vessels
745.2,Tetralogy of fallot
745.4,Ventricular septal defect
745.5,Ostium secundum type atrial septal defect
745.60,"Endocardial cushion defect, unspecified type"
745.61,Ostium primum defect
745.69,Other endocardial cushion defects
745.8,Other bulbus cordis anomalies and anomalies of cardiac septal closure
745.9,Unspecified defect of septal closure
746.01,"Atresia of pulmonary valve, congenital"
746.02,"Stenosis of pulmonary valve, congenital"
746.09,Other congenital anomalies of pulmonary valve
746.1,"Tricuspid atresia and stenosis, congenital"
746.2,Ebstein's anomaly
746.3,Congenital stenosis of aortic valve
746.4,Congenital insufficiency of aortic valve
746.6,Congenital mitral insufficiency
746.81,Subaortic stenosis
746.82,Cor triatriatum
746.83,Infundibular pulmonic stenosis
746.84,"Obstructive anomalies of heart, not elsewhere classified"
746.85,Coronary artery anomaly
746.86,Congenital heart block
746.87,Malposition of heart and cardiac apex
746.89,Other specified congenital anomalies of heart
746.9,Unspecified congenital anomaly of heart
747.0,Patent ductus arteriosus
747.10,Coarctation of aorta (preductal) (postductal)
747.20,"Anomaly of aorta, unspecified"
747.21,Anomalies of aortic arch
747.22,Atresia and stenosis of aorta
747.29,Other anomalies of aorta
747.3,Congenital anomalies of pulmonary artery
747.32,Pulmonary arteriovenous malformation
747.40,"Anomaly of great veins, unspecified"
747.41,Total anomalous pulmonary venous connection
747.42,Partial anomalous pulmonary venous connection
747.49,Other anomalies of great veins
747.5,Absence or hypoplasia of umbilical artery
747.61,Gastrointestinal vessel anomaly
747.62,Renal vessel anomaly
747.63,Upper limb vessel anomaly
747.69,Anomalies of other specified sites of peripheral vascular system
747.81,Anomalies of cerebrovascular system
747.82,Spinal vessel anomaly
747.83,Persistent fetal circulation
747.89,Other specified anomalies of circulatory system
748.0,Choanal atresia
748.1,Other anomalies of nose
748.2,Web of larynx
748.3,"Other anomalies of larynx, trachea, and bronchus"
748.4,Congenital cystic lung
748.5,"Agenesis, hypoplasia, and dysplasia of lung"
748.60,"Anomaly of lung, unspecified"
748.61,Congenital bronchiectasis
748.69,Other congenital anomalies of lung
748.8,Other specified anomalies of respiratory system
749.00,"Cleft palate, unspecified"
749.02,"Cleft palate, unilateral, incomplete"
749.20,"Cleft palate with cleft lip, unspecified"
749.22,"Cleft palate with cleft lip, unilateral, incomplete"
749.23,"Cleft palate with cleft lip, bilateral, complete"
750.0,Tongue tie
750.10,"Congenital anomaly of tongue, unspecified"
750.19,Other congenital anomalies of tongue
750.26,Other specified anomalies of mouth
750.29,Other specified anomalies of pharynx
750.3,"Tracheoesophageal fistula, esophageal atresia and stenosis"
750.4,Other specified anomalies of esophagus
750.5,Congenital hypertrophic pyloric stenosis
750.8,Other specified anomalies of upper alimentary tract
750.9,Unspecified anomaly of upper alimentary tract
751.0,Meckel's diverticulum
751.1,Atresia and stenosis of small intestine
751.2,"Atresia and stenosis of large intestine, rectum, and anal canal"
751.3,Hirschsprung's disease and other congenital functional disorders of colon
751.4,Anomalies of intestinal fixation
751.5,Other anomalies of intestine
751.60,"Unspecified anomaly of gallbladder, bile ducts, and liver"
751.62,Congenital cystic disease of liver
751.69,"Other anomalies of gallbladder, bile ducts, and liver"
751.7,Anomalies of pancreas
752.0,Anomalies of ovaries
752.19,Other anomalies of fallopian tubes and broad ligaments
752.2,Doubling of uterus
752.3,Other congenital anomalies of uterus
752.49,"Other anomalies of cervix, vagina, and external female genitalia"
752.51,Undescended testis
752.61,Hypospadias
752.63,Congenital chordee
752.69,Other penile anomalies
752.89,Other specified anomalies of genital organs
752.9,Unspecified anomaly of genital organs
753.0,Renal agenesis and dysgenesis
753.10,"Cystic kidney disease, unspecified"
753.11,Congenital single renal cyst
753.12,"Polycystic kidney, unspecified type"
753.13,"Polycystic kidney, autosomal dominant"
753.14,"Polycystic kidney, autosomal recessive"
753.15,Renal dysplasia
753.17,Medullary sponge kidney
753.19,Other specified cystic kidney disease
753.20,Unspecified obstructive defect of renal pelvis and ureter
753.21,Congenital obstruction of ureteropelvic junction
753.22,Congenital obstruction of ureterovesical junction
753.23,Congenital ureterocele
753.29,Other obstructive defects of renal pelvis and ureter
753.3,Other specified anomalies of kidney
753.4,Other specified anomalies of ureter
753.6,Atresia and stenosis of urethra and bladder neck
753.7,Anomalies of urachus
753.8,Other specified anomalies of bladder and urethra
753.9,Unspecified anomaly of urinary system
754.0,"Congenital musculoskeletal deformities of skull, face, and jaw"
754.1,Congenital musculoskeletal deformities of sternocleidomastoid muscle
754.2,Congenital musculoskeletal deformities of spine
754.30,"Congenital dislocation of hip, unilateral"
754.31,"Congenital dislocation of hip, bilateral"
754.32,"Congenital subluxation of hip, unilateral"
754.33,"Congenital subluxation of hip, bilateral"
754.40,Genu recurvatum
754.41,Congenital dislocation of knee (with genu recurvatum)
754.50,Talipes varus
754.53,Metatarsus varus
754.60,Talipes valgus
754.61,Congenital pes planus
754.70,"Talipes, unspecified"
754.79,Other deformities of feet
754.81,Pectus excavatum
754.82,Pectus carinatum
754.89,Other specified nonteratogenic anomalies
755.00,"Polydactyly, unspecified digits"
755.01,Polydactyly of fingers
755.02,Polydactyly of toes
755.10,Syndactyly of multiple and unspecified sites
755.11,Syndactyly of fingers without fusion of bone
755.13,Syndactyly of toes without fusion of bone
755.20,Unspecified reduction deformity of upper limb
755.21,Transverse deficiency of upper limb
755.26,"Longitudinal deficiency, radial, complete or partial (with or without distal deficiencies, incomplete)"
755.30,"Unspecified reduction deformity of lower limb,"
755.31,Transverse deficiency of lower limb
755.37,"Longitudinal deficiency, fibular, complete or partial (with or without distal deficiencies, incomplete)"
755.39,"Longitudinal deficiency, phalanges, complete or partial"
755.50,Unspecified anomaly of upper limb
755.55,Acrocephalosyndactyly
755.57,Macrodactylia (fingers)
755.59,"Other anomalies of upper limb, including shoulder girdle"
755.60,Unspecified anomaly of lower limb
755.63,Other congenital deformity of hip (joint)
755.64,Congenital deformity of knee (joint)
755.66,Other anomalies of toes
755.67,"Anomalies of foot, not elsewhere classified"
755.69,"Other anomalies of lower limb, including pelvic girdle"
756.0,Anomalies of skull and face bones
756.10,"Anomaly of spine, unspecified"
756.12,Spondylolisthesis
756.14,Hemivertebra
756.15,"Fusion of spine (vertebra), congenital"
756.16,Klippel-Feil syndrome
756.17,Spina bifida occulta
756.19,Other anomalies of spine
756.3,Other anomalies of ribs and sternum
756.4,Chondrodystrophy
756.51,Osteogenesis imperfecta
756.6,Anomalies of diaphragm
756.71,Prune belly syndrome
756.79,Other congenital anomalies of abdominal wall
756.83,Ehlers-Danlos syndrome
756.89,"Other specified anomalies of muscle, tendon, fascia, and connective tissue"
756.9,Other and unspecified anomalies of musculoskeletal system
757.0,Hereditary edema of legs
757.1,Ichthyosis congenita
757.2,Dermatoglyphic anomalies
757.32,Vascular hamartomas
757.33,Congenital pigmentary anomalies of skin
757.39,Other specified anomalies of skin
758.0,Down's syndrome
758.1,Patau's syndrome
758.2,Edwards' syndrome
758.3,Autosomal deletion syndromes
758.39,Other autosomal deletions
758.5,Other conditions due to autosomal anomalies
758.6,Gonadal dysgenesis
758.7,Klinefelter's syndrome
758.81,Other conditions due to sex chromosome anomalies
758.89,Other conditions due to chromosome anomalies
758.9,Conditions due to anomaly of unspecified chromosome
759.0,Anomalies of spleen
759.2,Anomalies of other endocrine glands
759.3,Situs inversus
759.5,Tuberous sclerosis
759.6,"Other hamartoses, not elsewhere classified"
759.81,Prader-Willi syndrome
759.82,Marfan syndrome
759.83,Fragile X syndrome
759.89,Other specified congenital anomalies
759.9,"Congenital anomaly, unspecified"
76.71,Injuries to scalp due to birth trauma
760.0,Maternal hypertensive disorders affecting fetus or newborn
760.1,Maternal renal and urinary tract diseases affecting fetus or newborn
760.2,Maternal infections affecting fetus or newborn
760.70,Unspecified noxious substance affecting fetus or newborn via placenta or breast milk
760.72,Narcotics affecting fetus or newborn via placenta or breast milk
760.75,Cocaine affecting fetus or newborn via placenta or breast milk
760.76,Diethylstilbestrol [DES] affecting fetus or newborn via placenta or breast milk
760.77,Anticonvulsants affecting fetus or newborn via placenta or breast milk
760.79,Other noxious influences affecting fetus or newborn via placenta or breast milk
760.8,Other specified maternal conditions affecting fetus or newborn
761.2,Oligohydramnios affecting fetus or newborn
761.3,Polyhydramnios affecting fetus or newborn
761.5,Multiple pregnancy affecting fetus or newborn
761.7,Malpresentation before labor affecting fetus or newborn
761.8,Other specified maternal complications of pregnancy affecting fetus or newborn
762.0,Placenta previa affecting fetus or newborn
762.1,Other forms of placental separation and hemorrhage affecting fetus or newborn
762.2,Other and unspecified morphological and functional abnormalities of placenta affecting fetus or newborn
762.3,Placental transfusion syndromes affecting fetus or newborn
762.4,Prolapsed umbilical cord affecting fetus or newborn
762.5,Other compression of umbilical cord affecting fetus or newborn
762.6,Other and unspecified conditions of umbilical cord affecting fetus or newborn
762.7,Chorioamnionitis affecting fetus or newborn
762.8,Other specified abnormalities of chorion and amnion affecting fetus or newborn
763.0,Breech delivery and extraction affecting fetus or newborn
763.1,"Other malpresentation, malposition, and disproportion during labor and delivery affecting fetus or newborn"
763.3,Delivery by vacuum extractor affecting fetus or newborn
763.4,Cesarean delivery affecting fetus or newborn
763.5,Maternal anesthesia and analgesia affecting fetus or newborn
763.6,Precipitate delivery affecting fetus or newborn
763.82,Abnormality in fetal heart rate or rhythm during labor
763.83,"Abnormality in fetal heart rate or rhythm, unspecified as to time of onset"
763.84,Meconium passage during delivery
763.89,Other specified complications of labor and delivery affecting fetus or newborn
764.01,"Light-for-dates without mention of fetal malnutrition, less than 500 grams"
764.02,"Light-for-dates without mention of fetal malnutrition, 500-749 grams"
764.03,"Light-for-dates without mention of fetal malnutrition, 750-999 grams"
764.04,"Light-for-dates without mention of fetal malnutrition, 1,000- 1,249 grams"
764.05,"Light-for-dateswithout mention of fetal malnutrition, 1,250- 1,499 grams"
764.06,"Light-for-dates without mention of fetal malnutrition, 1,500- 1,749 grams"
764.07,"Light-for-dates without mention of fetal malnutrition, 1,750- 1,999 grams"
764.08,"Light-for-dates without mention of fetal malnutrition, 2,000- 2,499 grams"
764.09,"Light-for-dates without mention of fetal malnutrition, 2,500 grams and over"
764.16,"Light-for-dates with signs of fetal malnutrition, 1,500-1,749 grams"
764.91,"Fetal growth retardation, unspecified, less than 500 grams"
764.92,"Fetal growth retardation, unspecified, 500-749 grams"
764.93,"Fetal growth retardation, unspecified, 750-999 grams"
764.94,"Fetal growth retardation, unspecified, 1,000-1,249 grams"
764.95,"Fetal growth retardation, unspecified, 1,250-1,499 grams"
764.96,"Fetal growth retardation, unspecified, 1,500-1,749 grams"
764.97,"Fetal growth retardation, unspecified, 1,750-1,999 grams"
764.98,"Fetal growth retardation, unspecified, 2,000-2,499 grams"
765.01,"Extreme immaturity, less than 500 grams"
765.02,"Extreme immaturity, 500-749 grams"
765.03,"Extreme immaturity, 750-999 grams"
765.04,"Extreme immaturity, 1,000-1,249 grams"
765.05,"Extreme immaturity, 1,250-1,499 grams"
765.08,"Extreme immaturity, 2,000-2,499 grams"
765.10,"Other preterm infants, unspecified [weight]"
765.11,"Other preterm infants, less than 500 grams"
765.12,"Other preterm infants, 500-749 grams"
765.13,"Other preterm infants, 750-999 grams"
765.14,"Other preterm infants, 1,000-1,249 grams"
765.15,"Other preterm infants, 1,250-1,499 grams"
765.16,"Other preterm infants, 1,500-1,749 grams"
765.17,"Other preterm infants, 1,750-1,999 grams"
765.18,"Other preterm infants, 2,000-2,499 grams"
765.19,"Other preterm infants, 2,500 grams and over"
765.21,Less than 24 completed weeks of gestation
765.22,24 completed weeks of gestation
765.23,25-26 completed weeks of gestation
765.24,27-28 completed weeks of gestation
765.25,29-30 completed weeks of gestation
765.26,31-32 completed weeks of gestation
765.27,33-34 completed weeks of gestation
765.28,35-36 completed weeks of gestation
765.29,37 or more completed weeks of gestation
766.0,Exceptionally large baby
766.1,"Other ""heavy-for-dates"" infants"
766.21,Post-term infant
767.0,Subdural and cerebral hemorrhage
767.11,Epicranial subaponeurotic hemorrhage (massive)
767.19,Other injuries to scalp
767.2,Fracture of clavicle due to birth trauma
767.3,Other injuries to skeleton due to birth trauma
767.6,Injury to brachial plexus due to birth trauma
767.8,Other specified birth trauma
768.3,"Fetal distress first noted during labor and delivery, in liveborn infant"
768.5,Severe birth asphyxia
768.7,Hypoxic-ischemic encephalopathy (hie)
768.9,Unspecified severity of birth asphyxia in liveborn infant
769,Respiratory distress syndrome in newborn
77.01,Fetal and newborn aspiration
77.58,Other neonatal endocrine and metabolic disturbances
77.75,Necrotizing enterocolitis in newborn
77.93,Feeding problems in newborn
770.0,Congenital pneumonia
770.12,Meconium aspiration with respiratory symptoms
770.16,Aspiration of blood with respiratory symptoms
770.18,Other fetal and newborn aspiration with respiratory symptoms
